"","SRR33482787","SRR33482788","SRR33482795","SRR33482806","SRR33482817","SRR33482818"
"AT1G78930",15.1335091750288,9.76970993537655,9.55334048426255,25.8414018114747,17.553541031702,15.1144877155487
"AT1G71695",2418.52393503429,2786.53837823462,3007.39158444585,1556.44750910652,2110.32571070017,2265.15789230356
"AT1G58983",7.56675458751441,1.08552332615295,1.91066809685251,3.97560027868842,5.85118034390067,8.06106011495929
"AT1G12980",1.8916886468786,2.1710466523059,0.955334048426255,0.993900069672105,2.92559017195033,1.00763251436991
"AT1G56250",27.4294853797397,10.8552332615295,12.4193426295413,0,2.92559017195033,1.00763251436991
"AT1G69810",63.3715696704332,81.4142494614712,71.6500536319691,168.963011844258,175.53541031702,233.77074333382
"AT1G72450",435.088388782079,300.689961344367,270.35953570463,318.048022295074,336.442869774288,384.915620489306
"AT1G76280",121.068073400231,132.43384579066,128.014762489118,173.932512192618,141.403524977599,138.045654468678
"AT1G15210",191.060553334739,251.841411667484,140.434105118659,576.462040409821,644.605034553057,717.434350231377
"AT1G15250",266.728099209883,284.407111452073,278.00220809204,334.944323479499,397.880263385245,320.427139569632
"AT1G79700",87.9635220798551,72.7300628522476,63.0520471961328,79.5120055737684,56.5614099910398,108.82431155195
"AT1G73360",17.9710421453467,21.710466523059,26.7493533559351,46.7133032745889,24.3799180995861,34.259505488577
"AT1G16360",4.72922161719651,5.42761663076475,9.55334048426255,11.9268008360653,14.6279508597517,16.1221202299186
"AT1G10225",13.2418205281502,4.3420933046118,14.3300107263938,4.96950034836052,8.776770515851,2.01526502873982
"AT1G26670",439.817610399275,384.275257458144,641.984480542443,444.273331143431,345.219640290139,327.480567170221
"AT1G52200",179.710421453467,180.19687214139,199.664816121087,577.455940479493,1052.23726517814,1026.77753214294
"AT1G57800",6.62091026407511,7.59866328307065,0.955334048426255,0,1.95039344796689,2.01526502873982
"AT1G69460",369.825130464767,308.288624627438,386.910289612633,396.56612779917,396.905066661262,356.701910086949
"AT1G04310",67.1549469641904,41.2498863938121,44.900700276034,4.96950034836052,17.553541031702,16.1221202299186
"AT1G75550",3.78337729375721,2.1710466523059,2.86600214527876,5.96340041803263,6.82637706788411,7.05342760058938
"AT1G71890",12.2959762047109,30.3946531322826,8.59800643583629,21.8658015327863,34.1318853394206,22.1679153161381
"AT1G05430",203.35652953945,259.440074950555,270.35953570463,345.877224245892,311.087754950719,279.114206480466
"AT1G80870",25.5377967328611,14.1118032399883,27.7046874043614,51.6828036229494,48.7598361991722,49.3739932041257
"AT1G75310",106.880408548641,117.236519224519,154.764115845053,164.987411565569,163.833049629219,166.259364871035
"AT1G02010",81.3426118157799,91.1839593968478,100.310075084757,78.5181055040963,76.0653444707087,82.6258661783328
"AT1G47900",184.439643070664,147.631172356801,188.200807539972,174.92641226229,184.312180832871,183.389117615324
"AT1G26760",16.0793534984681,3.25656997845885,3.82133619370502,5.96340041803263,6.82637706788411,9.06869262932921
"AT1G05250",0,0,0,14.9085010450816,0.975196723983445,1.00763251436991
"AT1G24575",82.2884561392192,84.6708194399301,102.220743181609,118.27410829098,82.8917215385928,74.5648060633735
"AT1G12790",62.4257253469939,79.2432028091653,73.5607217288216,61.6218043196705,61.437393610957,66.5037459484142
"AT1G04850",594.936079443321,478.715786833451,692.617185109035,760.33355329916,571.465280254299,595.510815992618
"AT1G31760",29.3211740266184,9.76970993537655,16.2406788232463,47.707203344261,33.1566886154371,33.2518729742071
"AT1G33250",301.724339177137,296.347868039755,213.994826847481,343.889424106548,346.194837014123,402.045373233595
"AT1G74000",37.8337729375721,23.8815131753649,23.8833512106564,11.9268008360653,27.3055082715364,22.1679153161381
"AT1G55580",8.51259891095371,11.9407565876824,2.86600214527876,6.95730048770473,13.6527541357682,19.1450177730283
"AT1G19715",177.818732806589,277.893971495155,198.709482072661,161.011811286881,178.46100048897,195.480707787763
"AT1G69430",25.5377967328611,26.0525598276708,24.8386852590826,3.97560027868842,5.85118034390067,3.02289754310974
"AT1G53340",10.4042875578323,16.2828498922942,2.86600214527876,29.8170020901631,29.2559017195033,57.435053319085
"AT1G29890",557.102306505749,766.379468263982,691.661851060608,600.315642081951,642.65464110509,656.976399369183
"AT1G80290",56.7506594063581,66.2169228953299,40.1240300339027,39.7560027868842,46.8094427512053,58.4426858334549
"AT1G56540",21.7544194391039,11.9407565876824,30.5706895496402,9.93900069672105,14.6279508597517,17.1297527442885
"AT1G48650",429.413322841443,524.307766531875,563.64708857149,428.370930028677,471.995214407987,427.236186092843
"AT1G07030",185.385487394103,151.973265661413,133.746766779676,123.243608639341,97.5196723983445,114.87010663817
"AT1G10120",101.205342608005,71.6445395260947,87.8907324552154,108.335107594259,89.7180986064769,113.8624741238
"AT1G43650",96.4761209908088,90.0984360706948,40.1240300339027,31.8048022295074,33.1566886154371,35.2671380029469
"AT1G09960",65.2632583173118,62.9603529168711,64.9627152929853,36.7743025778679,33.1566886154371,35.2671380029469
"AT1G53625",6.62091026407511,2.1710466523059,5.73200429055753,7.95120055737684,9.75196723983445,9.06869262932921
"AT1G63360",58.6423480532367,64.045876243024,71.6500536319691,136.164309545078,91.6684920544438,113.8624741238
"AT1G33330",339.558112114709,285.492634778226,268.448867607778,183.871512889339,223.320049792209,233.77074333382
"AT1G63430",175.92704415971,204.078385316755,211.128824702202,155.048410868848,169.684229973119,171.297527442885
"AT1G80720",129.580672311184,127.006229159895,141.389439167086,255.432317905731,223.320049792209,193.465442759023
"AT1G69770",221.327571684797,229.045421818272,226.414169477022,370.724725987695,351.07082063404,297.251591739124
"AT1G08460",178.764577130028,206.24943196906,138.523437021807,90.4449063401615,155.056279113368,140.060919497418
"AT1G08610",34.0503956438149,43.420933046118,35.3473597917714,44.7255031352447,28.2807049955199,29.2213429167274
"AT1G17540",0.945844323439302,3.25656997845885,0.955334048426255,2.98170020901631,1.95039344796689,1.00763251436991
"AT1G27380",8.51259891095371,16.2828498922942,22.9280171622301,11.9268008360653,12.6775574117848,13.0992226868089
"AT1G51440",3.78337729375721,15.1973265661413,27.7046874043614,9.93900069672105,6.82637706788411,4.03053005747965
"AT1G21610",226.056793301993,274.637401516696,245.520850445547,216.670215188519,210.642492380424,201.526502873982
"AT1G79710",45.4005275250865,52.1051196553416,33.4366916949189,43.7316030655726,39.0078689593378,48.3663606897558
"AT1G80840",209.977439803525,105.295762636836,112.729417714298,16.8963011844258,21.4543279276358,17.1297527442885
"AT1G49490",6.62091026407511,16.2828498922942,12.4193426295413,23.8536016721305,16.5783443077186,16.1221202299186
"AT1G09795",531.564509772888,453.748750331933,408.882972726437,248.475017418026,256.476738407646,274.076043908616
"AT1G48690",17.9710421453467,20.624943196906,12.4193426295413,46.7133032745889,39.9830656833212,45.343463146646
"AT1G49570",219.435883037918,333.255661128956,155.71944989348,377.6820264754,456.392066824252,502.808624670586
"AT1G68470",41.6171502313293,32.5656997845885,53.4987067118703,23.8536016721305,44.8590493032385,52.3968907472354
